ACC_0213,ACC_0173,2275
ACC_0120,ACC_0147,3212
ACC_0156,ACC_0169,3355
ACC_0291,ACC_0200,1710
ACC_0259,ACC_0236,3668
ACC_0106,ACC_0265,2528
ACC_0205,ACC_0177,907
ACC_0123,ACC_0241,2521
ACC_0167,ACC_0274,4483
ACC_0116,ACC_0287,2628
ACC_0193,ACC_0231,1212
ACC_0119,ACC_0214,260
ACC_0212,ACC_0265,4503
ACC_0226,ACC_0168,323
ACC_0171,ACC_0227,4789
ACC_0185,ACC_0106,351
ACC_0131,ACC_0259,1575
ACC_0298,ACC_0271,3588
ACC_0119,ACC_0154,1880
ACC_0140,ACC_0261,2497
ACC_0186,ACC_0121,3432
ACC_0294,ACC_0144,4281
ACC_0106,ACC_0144,4278
ACC_0136,ACC_0227,2499
ACC_0227,ACC_0204,2718
ACC_0178,ACC_0215,3892
ACC_0133,ACC_0262,4939
ACC_0120,ACC_0196,740
ACC_0116,ACC_0162,4293
ACC_0194,ACC_0296,2067
ACC_0202,ACC_0119,623
ACC_0107,ACC_0130,3608
ACC_0293,ACC_0152,4131
ACC_0211,ACC_0170,1055
ACC_0206,ACC_0293,2971
ACC_0102,ACC_0235,3207
ACC_0174,ACC_0136,689
ACC_0139,ACC_0149,1147
ACC_0215,ACC_0259,1477
ACC_0244,ACC_0275,1934
ACC_0136,ACC_0292,2843
ACC_0279,ACC_0178,4314
ACC_0122,ACC_0126,693
ACC_0265,ACC_0220,1042
ACC_0292,ACC_0271,3330
ACC_0278,ACC_0233,154
ACC_0220,ACC_0155,2268
ACC_0242,ACC_0144,2913
ACC_0248,ACC_0291,373
ACC_0228,ACC_0102,4867
ACC_0131,ACC_0159,3173
ACC_0152,ACC_0105,3977
ACC_0295,ACC_0114,3673
ACC_0220,ACC_0146,3394
ACC_0135,ACC_0164,1984
ACC_0297,ACC_0106,3163
ACC_0171,ACC_0293,3571
ACC_0235,ACC_0250,2745
ACC_0282,ACC_0296,2314
ACC_0248,ACC_0222,963
ACC_0244,ACC_0270,3672
ACC_0208,ACC_0217,3250
ACC_0179,ACC_0136,1032
ACC_0216,ACC_0278,2252
ACC_0109,ACC_0282,4576
ACC_0262,ACC_0293,1282
ACC_0186,ACC_0285,643
ACC_0272,ACC_0220,2654
ACC_0132,ACC_0123,587
ACC_0168,ACC_0241,2832
ACC_0252,ACC_0225,794
ACC_0196,ACC_0294,820
ACC_0287,ACC_0176,2955
ACC_0250,ACC_0242,1454
ACC_0264,ACC_0203,2080
ACC_0253,ACC_0179,4464
ACC_0155,ACC_0151,846
ACC_0207,ACC_0176,3097
ACC_0126,ACC_0161,3950
ACC_0172,ACC_0216,4282
ACC_0227,ACC_0122,3149
ACC_0286,ACC_0169,412
ACC_0239,ACC_0242,3000
ACC_0247,ACC_0273,280
ACC_0188,ACC_0104,571
ACC_0110,ACC_0133,4666
ACC_0144,ACC_0145,1458
ACC_0156,ACC_0254,4663
ACC_0174,ACC_0104,4047
ACC_0151,ACC_0252,3486
ACC_0212,ACC_0204,778
ACC_0113,ACC_0178,4581
ACC_0169,ACC_0224,3676
ACC_0121,ACC_0223,722
ACC_0227,ACC_0246,3416
ACC_0280,ACC_0122,4701
ACC_0179,ACC_0238,1751
ACC_0124,ACC_0173,2055
ACC_0248,ACC_0225,4834
